word_base,word_phonetic,word_audio_url,word_pos1,word_def1,word_syn1,word_ant1,word_pos2,word_def2,word_syn2,word_ant2,word_pos3,word_def3,word_syn3,word_ant3,word_source_url,word_pos4,word_def4,word_syn4,word_ant4,word_pos5,word_def5,word_syn5,word_ant5
dilettante,/dɪləˈtɒnti/,https://api.dictionaryapi.dev/media/pronunciations/en/dilettante-uk.mp3,noun,"An amateur, someone who dabbles in a field out of casual interest rather than as a profession or serious interest.;;;(sometimes offensive) A person with a general but superficial interest in any art or a branch of knowledge.;;;","amateur,dabbler,","amateur,dabbler,",adjective,Pertaining to or like a dilettante.;;;,,,,,,,https://en.wiktionary.org/wiki/dilettante,,,,,,,,
effrontery,/ɛˈfɹʌntəɹi/,,noun,Insolent and shameless audacity.;;;An act of insolent and shameless audacity.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/effrontery,,,,,,,,
encroach,/ɛŋˈkɹəʊtʃ/,,noun,Encroachment.;;;,,,verb,"To seize, appropriate;;;To intrude unrightfully on someone else’s rights or territory;;;To advance gradually beyond due limits;;;",,,,,,,https://en.wiktionary.org/wiki/encroach,,,,,,,,
entreat,/ənˈtɹiːt/,https://api.dictionaryapi.dev/media/pronunciations/en/entreat-uk.mp3,noun,An entreaty.;;;,,,verb,"To treat with, or in respect to, a thing desired; hence, to ask for earnestly.;;;To beseech or supplicate (a person); to prevail upon by prayer or solicitation; to try to persuade.;;;To invite; to entertain.;;;To treat or discourse; hence, to enter into negotiations, as for a treaty.;;;To make an earnest petition or request.;;;To treat, or conduct toward; to deal with; to use.;;;",,,,,,,https://en.wiktionary.org/wiki/entreat,,,,,,,,
gregarious,,https://api.dictionaryapi.dev/media/pronunciations/en/gregarious-au.mp3,adjective,(of a person) Describing one who enjoys being in crowds and socializing.;;;Of animals that travel in herds or packs.;;;,"outgoing,sociable,social,","outgoing,sociable,social,",,,,,,,,,https://en.wiktionary.org/wiki/gregarious,,,,,,,,
indignant,/ɪnˈdɪɡ.nənt/,https://api.dictionaryapi.dev/media/pronunciations/en/indignant-us.mp3,adjective,"Showing anger or indignation, especially at something unjust or wrong.;;;","angry,infuriated,mad,resentful,","angry,infuriated,mad,resentful,",,,,,,,,,https://en.wiktionary.org/wiki/indignant,,,,,,,,
ineluctable,/ɪn.ɪˈlʌk.tə.bəl/,,adjective,"Impossible to avoid or escape; inescapable, irresistible.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/ineluctable,,,,,,,,
levity,/ˈlɛ.vɪ.ti/,https://api.dictionaryapi.dev/media/pronunciations/en/levity-uk.mp3,noun,"Lightness of manner or speech, frivolity; lack of appropriate seriousness; inclination to make a joke of serious matters.;;;Lack of steadiness.;;;The state or quality of being light, buoyancy.;;;A lighthearted or frivolous act.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/levity,,,,,,,,
mediate,/ˈmidi.ət/,,verb,"To resolve differences, or to bring about a settlement, between conflicting parties.;;;To intervene between conflicting parties in order to resolve differences or bring about a settlement.;;;To divide into two equal parts.;;;To act as an intermediary causal or communicative agent; to convey.;;;To act as a spiritualistic medium.;;;",,,adjective,"Acting through a mediating agency, indirect.;;;Intermediate between extremes.;;;Gained or effected by a medium or condition.;;;",,,,,,,https://en.wiktionary.org/wiki/mediate,,,,,,,,
penurious,,,adjective,Miserly; excessively cheap.;;;Not bountiful; thin; scant.;;;Impoverished; wanting for money.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/penurious,,,,,,,,
piquant,/piːˈkɑːnt/,https://api.dictionaryapi.dev/media/pronunciations/en/piquant-us.mp3,adjective,"Causing hurt feelings; scathing, severe.;;;Stimulating to the senses; engaging; charming.;;;Favorably stimulating to the palate; pleasantly spicy; tangy.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/piquant,,,,,,,,
reprobate,/ˈɹɛpɹəbət/,https://api.dictionaryapi.dev/media/pronunciations/en/reprobate-1-uk.mp3,noun,One rejected by God; a sinful person.;;;An individual with low morals or principles.;;;,,,adjective,"Rejected; cast off as worthless.;;;Rejected by God; damned, sinful.;;;Immoral, having no religious or principled character.;;;",,,verb,"To have strong disapproval of something; to reprove; to condemn.;;;Of God: to abandon or reject, to deny eternal bliss.;;;To refuse, set aside.;;;",,,https://en.wiktionary.org/wiki/reprobate,,,,,,,,
turbid,/ˈtɜː(ɹ)bɪd/,,adjective,(of a liquid) Having the lees or sediment disturbed; not clear.;;;Smoky or misty.;;;Unclear; confused; obscure.;;;,"ambiguous,equivocal,cloudy,confused,disordered,disturbed,droff,roiled,fumid,hazy,","ambiguous,equivocal,cloudy,confused,disordered,disturbed,droff,roiled,fumid,hazy,",,,,,,,,,https://en.wiktionary.org/wiki/turbid,,,,,,,,
turgid,/ˈtɜːdʒɪd/,,adjective,"Distended beyond the natural state by some internal agent, especially fluid, or expansive force.;;;(of language or style) Overly complex and difficult to understand; grandiloquent; bombastic.;;;","bloated,distended,inflated,swelled,swollen,tumescent,tumid,turgescent,bombastic,grandiose,pompous,","bloated,distended,inflated,swelled,swollen,tumescent,tumid,turgescent,bombastic,grandiose,pompous,",,,,,,,,,https://en.wiktionary.org/wiki/turgid,,,,,,,,
vacuous,/ˈvækju.əs/,,adjective,Empty; void; lacking meaningful content.;;;Showing a lack of thought or intelligence; vacant;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/vacuous,,,,,,,,
ascetic,/əˈsɛ.tɪk/,,noun,"One who is devoted to the practice of self-denial, either through seclusion or stringent abstinence.;;;",,,adjective,Of or relating to ascetics;;;Characterized by rigorous self-denial or self-discipline; austere; abstinent; involving a withholding of physical pleasure.;;;,"abstinent,ascetical,ascetical,","abstinent,ascetical,ascetical,",,,,,https://en.wiktionary.org/wiki/ascetic,,,,,,,,
bucolic,,https://api.dictionaryapi.dev/media/pronunciations/en/bucolic-au.mp3,adjective,"Rustic, pastoral, country-styled.;;;Relating to the pleasant aspects of rustic country life.;;;Pertaining to herdsmen or peasants.;;;",,,noun,"A pastoral poem.;;;A rustic, peasant.;;;",,,,,,,https://en.wiktionary.org/wiki/bucolic,,,,,,,,
cacophonous,/kəˈkɒfənəs/,,adjective,"Containing, consisting of, or producing harsh, unpleasant or discordant sounds.;;;","inharmonious,unmelodic,unmusical,","inharmonious,unmelodic,unmusical,",,,,,,,,,https://en.wiktionary.org/wiki/cacophonous,,,,,,,,
countenance,[kʲʰæũ̯.ʔɪ̆.nəns],https://api.dictionaryapi.dev/media/pronunciations/en/countenance-au.mp3,noun,"Appearance, especially the features and expression of the face.;;;Favour; support; encouragement.;;;Superficial appearance; show; pretense.;;;Calm facial expression, composure, self-control.;;;",,,verb,"To tolerate, support, sanction, patronise or approve of something.;;;","approve,sanction,support,tolerate,","approve,sanction,support,tolerate,",,,,,https://en.wiktionary.org/wiki/countenance,,,,,,,,
extraneous,/ekˈstɹæɪ.ni.əs/,https://api.dictionaryapi.dev/media/pronunciations/en/extraneous-au.mp3,adjective,"Not belonging to, or dependent upon, a thing; without or beyond a thing; foreign;;;Not essential or intrinsic;;;","additional,alien,foreign,intrusive,extra,superfluous,","additional,alien,foreign,intrusive,extra,superfluous,",,,,,,,,,https://en.wiktionary.org/wiki/extraneous,,,,,,,,
fervor,/ˈfɝvɚ/,https://api.dictionaryapi.dev/media/pronunciations/en/fervor-us.mp3,noun,"An intense, heated emotion; passion, ardor.;;;A passionate enthusiasm for some cause.;;;Heat.;;;","fire in the belly,zeal,","fire in the belly,zeal,",,,,,,,,,https://en.wiktionary.org/wiki/fervor,,,,,,,,
invidious,/ɪnˈvɪdi.əs/,https://api.dictionaryapi.dev/media/pronunciations/en/invidious-us.mp3,adjective,"Causing ill will, envy, or offense.;;;(of a distinction) Offensively or unfairly discriminating.;;;Envious, jealous.;;;Detestable, hateful, odious.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/invidious,,,,,,,,
lethargic,/ləˈθɑɹdʒɪk/,,adjective,"Sluggish, slow;;;Indifferent, apathetic;;;","lazy,torpid,unmoving,","lazy,torpid,unmoving,",,,,,,,,,https://en.wiktionary.org/wiki/lethargic,,,,,,,,
numinous,/ˈnjuːmɪnəs/,https://api.dictionaryapi.dev/media/pronunciations/en/numinous-uk.mp3,adjective,"Of or relating to a numen (divinity); indicating the presence of a divinity.;;;Evoking a sense of the mystical, sublime, or transcendent; awe-inspiring.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/numinous,,,,,,,,
pellucid,/pəˈluːsɪd/,,adjective,Allowing the passage of light; transparent.;;;Easily understood; clear.;;;,"clear,limpid,lucid,translucent,clear,crystal clear,lucid,translucent,","clear,limpid,lucid,translucent,clear,crystal clear,lucid,translucent,",,,,,,,,,https://en.wiktionary.org/wiki/pellucid,,,,,,,,
scathing,,,verb,To injure or harm.;;;To blast; scorch; wither.;;;,,,adjective,Harshly or bitterly critical; vitriolic;;;Harmful or painful; acerbic;;;,,,,,,,https://en.wiktionary.org/wiki/scathe,,,,,,,,
allusive,/əˈljuː.sɪv/,,adjective,That contains or makes use of allusions (indirect references or hints);;;,"suggestive,","suggestive,",,,,,,,,,https://en.wiktionary.org/wiki/allusive,,,,,,,,
convalescent,,,noun,A person recovering from illness.;;;,,,adjective,Recovering one's health and strength after a period of illness;;;Of convalescence or convalescents;;;,,,,,,,https://en.wiktionary.org/wiki/convalescent,,,,,,,,
decry,/dɪˈkɹaɪ/,,verb,To denounce as harmful.;;;To blame for ills.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/decry,,,,,,,,
fawn,/fɔːn/,https://api.dictionaryapi.dev/media/pronunciations/en/fawn-uk.mp3,noun,"A young deer.;;;A pale brown colour tinted with yellow, like that of a fawn.;;;The young of an animal; a whelp.;;;",,,verb,To give birth to a fawn.;;;,,,adjective,Of the fawn colour.;;;,,,https://en.wiktionary.org/wiki/fawn,noun,A servile cringe or bow.;;;Base flattery.;;;,,,verb,"To exhibit affection or attempt to please.;;;To seek favour by flattery and obsequious behaviour (with on or upon).;;;(of a dog) To show devotion or submissiveness by wagging its tail, nuzzling, licking, etc.;;;","grovel,soft-soap,toady,wheedle,","grovel,soft-soap,toady,wheedle,"
glib,/ɡlɪb/,https://api.dictionaryapi.dev/media/pronunciations/en/glib-au.mp3,verb,To make glib.;;;,,,adjective,"Having a ready flow of words but lacking thought or understanding; superficial; shallow.;;;Smooth or slippery.;;;Artfully persuasive but insincere in nature; smooth-talking, honey-tongued, silver-tongued.;;;",,,noun,"A mass of matted hair worn down over the eyes, formerly worn in Ireland.;;;",,,https://en.wiktionary.org/wiki/glib,verb,To castrate; to geld; to emasculate.;;;,,,,,,
ire,/aɪ.ə(ɹ)/,,noun,Iron.;;;,,,noun,Great anger; wrath; keen resentment.;;;,"fury,rage,wrath,","fury,rage,wrath,",verb,To anger; to fret; to irritate.;;;,,,https://en.wiktionary.org/wiki/ire,,,,,,,,
languid,/ˈlæŋ.ɡwɪd/,https://api.dictionaryapi.dev/media/pronunciations/en/languid-uk.mp3,adjective,"Lacking enthusiasm, energy, or strength; drooping or flagging from weakness, fatigue, or lack of energy;;;Heavy; dull; dragging; wanting spirit or animation; listless; apathetic.;;;","exhausted,faint,listless,swear,sweer,weak,weary,","exhausted,faint,listless,swear,sweer,weak,weary,",noun,A languet in an organ (musical instrument).;;;,,,,,,,https://en.wiktionary.org/wiki/languid,,,,,,,,
mettlesome,,,adjective,Marked by mettle or bravery; courageous.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/mettlesome,,,,,,,,
mollify,/ˈmɒlɪfaɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/mollify-us.mp3,verb,"To ease a burden, particularly worry; make less painful; to comfort.;;;To appease (anger), pacify, gain the good will of.;;;To soften; to make tender;;;","appease,conciliate,pacify,placate,propitiate,satisfy,assuage,calm,comfort,mitigate,soothe,","appease,conciliate,pacify,placate,propitiate,satisfy,assuage,calm,comfort,mitigate,soothe,",,,,,,,,,https://en.wiktionary.org/wiki/mollify,,,,,,,,
nonplussed,/nɒnˈplʌst/,https://api.dictionaryapi.dev/media/pronunciations/en/nonplussed-uk.mp3,verb,To perplex or bewilder someone; to confound or flummox;;;,,,adjective,"Bewildered; unsure how to respond or act.;;;Unfazed, unaffected, or unimpressed.;;;","confounded,foiled,frustrated,perplexed,thwarted,vexed,","confounded,foiled,frustrated,perplexed,thwarted,vexed,",,,,,https://en.wiktionary.org/wiki/nonplus,,,,,,,,
precipitous,/pɹɪˈsɪpɪtəs/,https://api.dictionaryapi.dev/media/pronunciations/en/precipitous-us.mp3,adjective,"Steep, like a precipice;;;Headlong;;;Hasty; rash; quick; sudden;;;","heedless,hotheaded,impetuous,headlong,precipitant,precipitous,brant,steep-to,abrupt,precipitous,subitaneous,","heedless,hotheaded,impetuous,headlong,precipitant,precipitous,brant,steep-to,abrupt,precipitous,subitaneous,",,,,,,,,,https://en.wiktionary.org/wiki/precipitous,,,,,,,,
recourse,/ɹɪˈkɔːs/,https://api.dictionaryapi.dev/media/pronunciations/en/recourse-uk.mp3,noun,"The act of seeking assistance or advice.;;;A coursing back, or coursing again; renewed course; return; retreat; recurrence.;;;Access; admittance.;;;",,,verb,To return; to recur.;;;To have recourse; to resort.;;;,"repeat,","repeat,",,,,,https://en.wiktionary.org/wiki/recourse,,,,,,,,
garrulous,/ˈɡæɹ.jʊ.ləs/,,adjective,Excessively or tiresomely talkative.;;;(of something written or performed) Excessively wordy and rambling.;;;,"bombastic,rambling,wordy,chatty,long-winded,loquacious,talkative,tonguey,voluble,","bombastic,rambling,wordy,chatty,long-winded,loquacious,talkative,tonguey,voluble,",,,,,,,,,https://en.wiktionary.org/wiki/garrulous,,,,,,,,
inimical,/ɪˈnɪmɪkəl/,https://api.dictionaryapi.dev/media/pronunciations/en/inimical-us.mp3,adjective,"Harmful in effect.;;;Unfriendly, hostile.;;;","antagonistic,inimic,inimicable,","antagonistic,inimic,inimicable,",,,,,,,,,https://en.wiktionary.org/wiki/inimical,,,,,,,,
paradigmatic,/pɛɹ.ə.dɪɡ.ˈmæ.tɪk/,,noun,"A writer of memoirs of religious persons, as examples of Christian excellence.;;;",,,adjective,Of or pertaining to a paradigm.;;;Related as members of a substitution class.;;;Exemplary.;;;,,,,,,,https://en.wiktionary.org/wiki/paradigmatic,,,,,,,,
placid,/ˈplæs.ɪd/,,adjective,Calm and quiet; peaceful; tranquil;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/placid,,,,,,,,
polemical,/pəˈlɛmɪkəl/,,noun,A diatribe or polemic.;;;,,,adjective,"Related to argument or controversy; containing polemic, being polemic;;;",,,,,,,https://en.wiktionary.org/wiki/polemical,,,,,,,,
profundity,/pɹəˈfʌndɪti/,,noun,The state of being profound or abstruse.;;;A great depth.;;;Deep intellect or insight.;;;,"profoundness,","profoundness,",,,,,,,,,https://en.wiktionary.org/wiki/profundity,,,,,,,,
punctilious,/pʌŋkˈtɪli.əs/,https://api.dictionaryapi.dev/media/pronunciations/en/punctilious-uk.mp3,adjective,"Strictly attentive to detail; meticulous or fastidious, particularly to codes or conventions.;;;Precise or scrupulous; finicky or nitpicky.;;;","finicky,nitpicky,precise,","finicky,nitpicky,precise,",,,,,,,,,https://en.wiktionary.org/wiki/punctilious,,,,,,,,
adroit,/əˈdɹɔɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/adroit-uk.mp3,adjective,"Deft, dexterous, or skillful.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/adroit,,,,,,,,
animus,/ˈæ.nɪ.məs/,,noun,"The basic impulses and instincts which govern one's actions.;;;A feeling of enmity, animosity or ill will.;;;The masculine aspect of the feminine psyche or personality.;;;","bad blood,","bad blood,",,,,,,,,,https://en.wiktionary.org/wiki/animus,,,,,,,,
astringent,/əˈstɹɪn.dʒənt/,,noun,"A substance which draws tissue together, thus restricting the flow of blood.;;;",,,adjective,"Extremely sour, bitter.;;;Sharp, caustic, severe.;;;Causing a dry or puckering mouthfeel; characteristic of foods with high tannin content, such as certain kinds of berries and citrus fruits.;;;Having the effect of drawing tissue together; styptic.;;;","smectic,","smectic,",,,,,https://en.wiktionary.org/wiki/astringent,,,,,,,,
flummoxed,,,verb,To confuse; to fluster; to flabbergast.;;;,,,adjective,"Confused, perplexed or flustered.;;;","bewildered,mystified,perplexed,stumped,","bewildered,mystified,perplexed,stumped,",,,,,https://en.wiktionary.org/wiki/flummox,,,,,,,,
reticent,/ˈɹɛtɪsənt/,https://api.dictionaryapi.dev/media/pronunciations/en/reticent-au.mp3,adjective,Keeping one's thoughts and opinions to oneself; reserved or restrained.;;;Hesitant or not wanting to take some action; reluctant (usually followed by a verb in the infinitive).;;;,"reluctant,unwilling,reserved,restrained,tight-lipped,","reluctant,unwilling,reserved,restrained,tight-lipped,",,,,,,,,,https://en.wiktionary.org/wiki/reticent,,,,,,,,
surreptitious,/ˌsʌɹɪpˈtɪʃəs/,,adjective,"Stealthy, furtive, well hidden, covert (especially movements).;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/surreptitious,,,,,,,,
tantalizing,,,verb,To tease (someone) by offering something desirable but keeping it out of reach;;;To bait (someone) by showing something desirable but leaving them unsatisfied;;;,,,noun,Teasing temptation;;;,,,adjective,"Teasing; tempting, especially that which is beyond reach.;;;",,,https://en.wiktionary.org/wiki/tantalize,,,,,,,,
torpor,/ˈtɔːpə(ɹ)/,,noun,"A state of being inactive or stuporous.;;;A state of apathy or lethargy.;;;A state similar to hibernation characterised by energy-conserving, very deep sleep.;;;","languor,lethargy,sluggishness,torpidity,","languor,lethargy,sluggishness,torpidity,",,,,,,,,,https://en.wiktionary.org/wiki/torpor,,,,,,,,
wayward,/ˈweɪwɚd/,,adjective,"Given to wilful, perverse deviation from the expected norm; tending to stray;;;Obstinate, contrary and unpredictable;;;Not on target;;;","capricious,contrary,disobedient,froward,headstrong,insubordinate,obdurate,obstinate,perverse,undisciplined,willful,witherward,","capricious,contrary,disobedient,froward,headstrong,insubordinate,obdurate,obstinate,perverse,undisciplined,willful,witherward,",,,,,,,,,https://en.wiktionary.org/wiki/wayward,,,,,,,,
assail,/əˈseɪl/,,verb,To attack with harsh words or violent force (also figuratively).;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/assail,,,,,,,,
buttress,/ˈbʌtɹəs/,https://api.dictionaryapi.dev/media/pronunciations/en/buttress-uk.mp3,noun,"A brick or stone structure built against another structure to support it.;;;Anything that serves to support something; a prop.;;;A buttress-root.;;;A feature jutting prominently out from a mountain or rock; a crag, a bluff.;;;Anything that supports or strengthens.;;;","brace,counterfort,","brace,counterfort,",verb,"To support something physically with, or as if with, a prop or buttress.;;;(by extension) To support something or someone by supplying evidence; to corroborate or substantiate.;;;",,,,,,,https://en.wiktionary.org/wiki/buttress,,,,,,,,
contravene,/ˌkɒn.tɹəˈviːn/,,verb,To act contrary to an order; to fail to conform to a regulation or obligation.;;;To deny the truth of something.;;;,"breach,break,infringe,violate,contradict,controvert,dispute,gainsay,","breach,break,infringe,violate,contradict,controvert,dispute,gainsay,",,,,,,,,,https://en.wiktionary.org/wiki/contravene,,,,,,,,
despotic,,https://api.dictionaryapi.dev/media/pronunciations/en/despotic-au.mp3,adjective,"Of or pertaining to a despot or tyrant.;;;Acting or ruling as a despot, tyrannical.;;;","domineering,tyrannical,","domineering,tyrannical,",,,,,,,,,https://en.wiktionary.org/wiki/despotic,,,,,,,,
finicky,/ˈfɪnɪki/,,adjective,"(of a person) Fastidious and fussy; difficult to please; exacting, especially about details.;;;Demanding; requiring above-normal care.;;;","fastidious,fussy,","fastidious,fussy,",,,,,,,,,https://en.wiktionary.org/wiki/finicky,,,,,,,,
ironclad,,https://api.dictionaryapi.dev/media/pronunciations/en/ironclad-us.mp3,noun,"A metal-plated ship, vessel, or vehicle.;;;An armor-plated warship.;;;",,,adjective,"Covered with iron, steel, or some metal, armor-plated.;;;Solid or certain; not able to be disputed or questioned; irrefutable.;;;Rigorous; severe; exacting.;;;",,,,,,,https://en.wiktionary.org/wiki/ironclad,,,,,,,,
plaintive,/ˈpleɪntɪv/,,adjective,"Sounding sorrowful, mournful or melancholic.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/plaintive,,,,,,,,
poignant,,https://api.dictionaryapi.dev/media/pronunciations/en/poignant-au.mp3,adjective,"Of a weapon, etc.: sharp-pointed; keen.;;;Neat; eloquent; applicable; relevant.;;;Evoking strong mental sensation, to the point of distress; emotionally moving.;;;Of a smell or taste: piquant, pungent.;;;Of a look, or of words: incisive; penetrating; piercing.;;;Inducing sharp physical pain.;;;","distressing,moving,","distressing,moving,",,,,,,,,,https://en.wiktionary.org/wiki/poignant,,,,,,,,
quiescent,/ˈkwaɪ̯.ɛsn̩t/,https://api.dictionaryapi.dev/media/pronunciations/en/quiescent-uk.mp3,adjective,"Inactive, quiet, at rest.;;;Not sounded; silent.;;;Non-proliferating.;;;","dormant,servile,calm,still,tranquil,","dormant,servile,calm,still,tranquil,",,,,,,,,,https://en.wiktionary.org/wiki/quiescent,,,,,,,,
subsume,/səbˈsuːm/,,verb,To place (any one cognition) under another as belonging to it; to include or contain something else.;;;To consider an occurrence as part of a principle or rule; to colligate;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/subsume,,,,,,,,
surmount,/səˈmaʊnt/,,verb,To get over; to overcome.;;;To cap; to sit on top off.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/surmount,,,,,,,,
tangential,,https://api.dictionaryapi.dev/media/pronunciations/en/tangential-au.mp3,adjective,"Referring to a tangent, moving at a tangent to something.;;;Merely touching, positioned as a tangent.;;;Only indirectly related.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/tangential,,,,,,,,
clangor,,,noun,"A loud, repeating clanging sound; a loud racket; a din.;;;",,,verb,To make a clanging sound.;;;,,,,,,,https://en.wiktionary.org/wiki/clangor,,,,,,,,
plodding,,,verb,"To walk or move slowly and heavily or laboriously (+ on, through, over).;;;To trudge over or through.;;;To toil; to drudge; especially, to study laboriously and patiently.;;;",,,noun,"Slow, laborious progress.;;;",,,adjective,Progressing slowly and laboriously.;;;,,,https://en.wiktionary.org/wiki/plod,,,,,,,,
prosaic,/pɹəʊˈzeɪ.ɪk/,,adjective,"Pertaining to or having the characteristics of prose.;;;(of writing or speaking) Straightforward; matter-of-fact; lacking the feeling or elegance of poetry.;;;(main usage, usually of writing or speaking but also figurative) Overly plain, simple or commonplace, to the point of being boring.;;;","dull,humdrum,unimaginative,","dull,humdrum,unimaginative,",,,,,,,,,https://en.wiktionary.org/wiki/prosaic,,,,,,,,
propriety,/pɹəˈpɹaɪəti/,,noun,"The particular character or essence of someone or something; individuality.;;;A characteristic; an attribute.;;;A piece of land owned by someone; someone's property.;;;More generally, something owned by someone; a possession.;;;The fact of possessing something; ownership.;;;Correct language or pronunciation.;;;Suitability, fitness; the quality of being appropriate.;;;(often in the plural) Correctness in behaviour and morals; good manners, seemliness.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/propriety,,,,,,,,
veracity,/vəˈɹæ.sɪ.ti/,,noun,(of a person) The quality of speaking or stating the truth; truthfulness.;;;Something that is true; a truthful statement; a truth.;;;Agreement with the facts; accordance with the truth; accuracy or precision.;;;Act of being exact and accurate.;;;Correctness and carefulness in one's plan of action.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/veracity,,,,,,,,
auspicious,/ɔːˈspɪʃəs/,https://api.dictionaryapi.dev/media/pronunciations/en/auspicious-us.mp3,adjective,Of good omen; indicating future success.;;;Conducive to success.;;;Marked by success; prosperous.;;;,"favorable,favourable,fortunate,lucky,promising,propitious,fortunate,lucky,","favorable,favourable,fortunate,lucky,promising,propitious,fortunate,lucky,",,,,,,,,,https://en.wiktionary.org/wiki/auspicious,,,,,,,,
bereft,/bəˈɹɛft/,https://api.dictionaryapi.dev/media/pronunciations/en/bereft-au.mp3,verb,"To deprive by or as if by violence; to rob; to strip; to benim.;;;To take away by destroying, impairing, or spoiling; take away by violence.;;;To deprive of power; prevent.;;;To take away someone or something that is important or close; deprive.;;;To destroy life; cut off.;;;",,,adjective,"(of a person) Pained by the loss of someone.;;;Deprived of, lacking, stripped of, robbed of.;;;",,,,,,,https://en.wiktionary.org/wiki/bereave,,,,,,,,
captious,/ˈkæpʃəs/,https://api.dictionaryapi.dev/media/pronunciations/en/captious-uk.mp3,adjective,"That captures; especially, (of an argument, words etc.) designed to capture or entrap in misleading arguments; sophistical.;;;Having a disposition to find fault unreasonably or to raise petty objections; cavilling, nitpicky.;;;","carping,critical,faultfinding,hypercritical,nitpicky,sophistical,thorny,tricky,","carping,critical,faultfinding,hypercritical,nitpicky,sophistical,thorny,tricky,",,,,,,,,,https://en.wiktionary.org/wiki/captious,,,,,,,,
delineate,/dɪˈlɪniːeɪt/,,verb,"To sketch out, draw or trace an outline.;;;To depict, represent with pictures.;;;To describe or depict with words or gestures.;;;To outline or mark out.;;;","delimit,demarcate,demark,","delimit,demarcate,demark,",,,,,,,,,https://en.wiktionary.org/wiki/delineate,,,,,,,,
exhort,/ɛɡˈzɔːt/,https://api.dictionaryapi.dev/media/pronunciations/en/exhort-us.mp3,verb,To urge; to advise earnestly.;;;,"counsel,implore,","counsel,implore,",,,,,,,,,https://en.wiktionary.org/wiki/exhort,,,,,,,,
harangue,/həˈɹeɪŋ/,,noun,"An impassioned, disputatious public speech.;;;A tirade, harsh scolding or rant, whether spoken or written.;;;","admonition,condemnation,criticism,diatribe,polemic,rant,screed,tirade,","admonition,condemnation,criticism,diatribe,polemic,rant,screed,tirade,",verb,To give a forceful and lengthy lecture or criticism to someone.;;;,"admonish,berate,lecture,","admonish,berate,lecture,",,,,,https://en.wiktionary.org/wiki/harangue,,,,,,,,
ploy,/plɔɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/ploy-uk.mp3,noun,"A tactic, strategy, or gimmick.;;;Sport; frolic.;;;Employment.;;;",,,verb,To form a column from a line of troops on some designated subdivision.;;;,,,,,,,https://en.wiktionary.org/wiki/ploy,,,,,,,,
pomposity,,,noun,The quality of being pompous; self-importance.;;;,"bombast,ostentatiousness,pompousness,","bombast,ostentatiousness,pompousness,",,,,,,,,,https://en.wiktionary.org/wiki/pomposity,,,,,,,,
steadfast,/ˈstɛdfæst/,https://api.dictionaryapi.dev/media/pronunciations/en/steadfast-us.mp3,adjective,Fixed or unchanging; steady.;;;Firmly loyal or constant; unswerving.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/steadfast,,,,,,,,
pertinacious,/ˌpɜːtɪˈneɪʃəs/,,adjective,Holding tenaciously to an opinion or purpose.;;;Stubbornly resolute or tenacious.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/pertinacious,,,,,,,,
probity,/ˈpɹəʊbɪti/,,noun,"Integrity, especially of the quality of having strong moral principles; honesty and decency.;;;","decency,godliness,goodness,honesty,honor,righteousness,saintliness,uprightness,virtue,","decency,godliness,goodness,honesty,honor,righteousness,saintliness,uprightness,virtue,",,,,,,,,,https://en.wiktionary.org/wiki/probity,,,,,,,,
spurious,/ˈspjʊə.ɹi.əs/,,adjective,"False, not authentic, not genuine.;;;Extraneous; stray; not relevant or wanted.;;;Bastardly, illegitimate;;;","bogus,counterfeit,fake,false,","bogus,counterfeit,fake,false,",,,,,,,,,https://en.wiktionary.org/wiki/spurious,,,,,,,,
timorous,/ˈtɪməɹəs/,,adjective,Fearful; afraid; timid;;;,"fearful,shy,timid,","fearful,shy,timid,",,,,,,,,,https://en.wiktionary.org/wiki/timorous,,,,,,,,
tortuous,/ˈtɔːt͡ʃuːəs/,,adjective,Twisted; having many turns; convoluted.;;;Oblique; applied to the six signs of the zodiac (from Capricorn to Gemini) that ascend most rapidly and obliquely.;;;Injurious; tortious.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/tortuous,,,,,,,,
